item_code,variant,variant_desctiption,variant_order,vendor,stock_quantity
50465581-001,S,S,1,0413,0
50457138-002,XXL,XXL,5,0413,0
50472725-001,XL,XL,4,0413,1
50469313-961,XXL,XXL,5,0413,1
50477874-100,43-46,43-46,4,0413,26
50470205-693,M,M,2,0413,0
50467556-107,XL,XL,4,0413,3
OW56900-0,XL,XL,8,0511,2
OW32034-001,ST,ST,1,0511,15
OW32003-0,ST,ST,1,0511,14
OW41004-0,L,L,6,0511,2
OW22907-G,ST,ST,1,0511,0
OW62119-0,ST,ST,1,0511,3
OW62063-0,ST,ST,1,0511,0
OW22933-0,ST,ST,1,0511,2
OW32293-0,ST,ST,1,0511,14
OW61119-0,ST,ST,1,0511,0
OW81026-0,ST,ST,1,0511,3
BGA6360244-316,ST,ST,1,0515,4
APA3351044-633,ST,ST,1,0515,0
ASA8380M44-692,ST,ST,1,0515,2
BGA6170144-019,ST,ST,1,0515,5
BMA7820144-98A,ST,ST,1,0515,10
BCA7620144-001,ST,ST,1,0515,1
VAA6960S94-742,S,S,2,0515,4
BSA6980144-939,ST,ST,1,0515,2
BSA6900144-98A,ST,ST,1,0515,3
BSA5340144-647,ST,ST,1,0515,3
AAA6311044-31M,ST,ST,1,0515,1
BTA5930244-50F,ST,ST,1,0515,2
AAA8400144-475,ST,ST,1,0515,2
BSA5020144-001,ST,ST,1,0515,3
AGA5620144-487,ST,ST,1,0515,3
BSA5020244-104,ST,ST,1,0515,2
17050100-99,19,XS,2,054,1
87069025-52,20,S,3,054,3
87020536-99,21,M,4,054,1
37050252-20,19,XS,2,054,0
27041118-99,19,XS,2,054,1
27072884-99,19,XS,2,054,0
27048631-51,12,12,11,054,1
87012888-94,19,XS,2,054,1
87034044-52,19,XS,2,054,1
27098635-99,21,M,4,054,0
37091304-TN,40,40,5,054,0
87047129-99,22,L,5,054,0
27087119-01,22,L,5,054,0
27057120-99,21,M,4,054,0
17071072-52,21,M,4,054,0
27081080-75,41,41,7,054,0
27041118-99,20,S,3,054,2
17982502-96,08,08,9,054,0
77930535-94,20,S,3,054,2
27025759-70,40,40,4,054,1
77014408-94,21,M,4,054,2
27008644-70,19,XS,2,054,1
67047891-85,20,S,3,054,1
37030250-43,99,BEZ VELICINA,1,054,0
37021290-TC,32,32,12,054,0
27037120-50,22,L,5,054,0
27027123-02,20,S,3,054,0
17031083-11,19,XS,2,054,0
27070662-TM,38,38,3,054,5
37051270-99,20,S,3,054,1
37061314-43,22,L,5,054,0
17060122-41,40,40,4,054,1
67005953-30,36,36,2,054,0
27057116-05,20,S,3,054,0
27098634-12,20,S,3,054,2
27017891-43,36,36,3,054,0
17082011-43,19,XS,2,054,0
37041307-99,19,XS,2,054,0
27059047-65,21,M,4,054,1
37010100-TN,38,38,3,054,1
37910903-TN,10,10,10,054,3
17020166-01,23,XL,6,054,0
37010472-32,22,L,5,054,0
27007107-99,21,M,4,054,1
37010475-05,22,L,5,054,0
27003270-01,34,34,1,054,1
27028639-01,19,XS,2,054,0
27097117-84,22,L,5,054,0
27092532-99,22,L,5,054,0
27024012-02,19,XS,2,054,0
37001186-99,19,XS,2,054,0
37800460-70,20,S,3,054,0
37092504-50,20,S,3,054,10
27097105-12,36,36,3,054,1
37020451-20,23,XL,6,054,0
27038630-01,19,XS,2,054,1
17064043-10,20,S,3,054,1
87001045-70,06,06,8,054,0
27037123-43,23,XL,6,054,0
27005800-43,20,S,3,054,1
17090183-99,20,S,3,054,1
17050210-99,19,XS,2,054,4
37010361-BL,46,46,8,054,0
37000355-01,21,M,4,054,0
27019049-52,21,M,4,054,3
27057116-05,22,L,5,054,1
27004017-68,21,M,4,054,4
27045760-32,22,L,5,054,0
37050436-99,21,M,4,054,0
27074038-99,23,XL,6,054,1
27014399-99,99,BEZ VELICINA,1,054,1
77930535-07,19,XS,2,054,0
27963262-99,05,5-6,3,054,0
77010539-01,20,S,3,054,1
77009215-99,21,M,4,054,1
87029029-99,20,S,3,054,1
87017124-37,19,XS,2,054,1
27097113-99,20,S,3,054,2
27002514-09,99,BEZ VELICINA,1,054,0
RPL001474,L,L,4,0611,0
RPL001460,XL,XL,5,0611,0
RPL001640,UNIC,UNIC,1,0611,6
RPL001466,M,M,3,0611,0
RPL001455,XXL,XXL,6,0611,2
RPL001409,32-32,32-32,8,0611,2
RPL001080,XS,XS,1,0611,1
RPL001456,XL,XL,5,0611,1
06847272067A,0,TU,1,011,0
06828604226M,0,TU,1,011,2
06847452105A,0,TU,1,011,2
068699162127/30,0,TU,1,011,1
06508031386A,0,TU,1,011,2
068524175910A,0,TU,1,011,0
068549389023M,0,TU,1,011,0
066091117118M,0,TU,1,011,0
